gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,paperlessbilling,monthlycharges,totalcharges,churn,internetservice_Fiber optic,internetservice_No,contract_One year,contract_Two year,paymentmethod_Credit card (automatic),paymentmethod_Electronic check,paymentmethod_Mailed check,tenure_years,has_internet,num_addon_services,charge_tenure_interaction,high_charge_flag,contract_term,auto_pay,echeck_flag,fiber_flag,clv_simple,monthlycharges_z,totalcharges_z,charge_tenure_interaction_z,contract_type_One Year,contract_type_Two Year,internet_type_Fiber optic,internet_type_No Internet,payment_method_Electronic Check,payment_method_Mailed Check,payment_method_Other/Bank Auto,tenure_group_7-12,tenure_group_13-24,tenure_group_25-48,tenure_group_49+
0,0,0,1,71,1,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0,106.7,7382.25,0,1,0,0,1,0,0,0,5.9,1,5.0,7575.7,1,24,0,0,1,7575.7,1.394,2.252,2.339,False,True,True,False,False,False,True,False,False,False,True
1,0,1,1,10,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,55.2,528.35,1,0,0,0,0,1,0,0,0.8,1,2.0,552.0,0,1,1,0,0,552.0,-0.318,-0.774,-0.763,False,False,False,False,False,False,False,True,False,False,False
1,0,0,0,21,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1,90.05,1862.9,0,1,0,0,0,0,1,0,1.8,1,3.0,1891.05,1,1,0,1,1,1891.05,0.84,-0.185,-0.172,False,False,True,False,True,False,False,False,True,False,False
0,1,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,39.65,39.65,1,0,0,0,0,0,1,0,0.1,1,2.0,39.65,0,1,0,1,0,39.65,-0.835,-0.99,-0.989,False,False,False,False,True,False,False,False,False,False,False
0,0,1,0,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.8,202.25,0,0,1,1,0,0,0,0,1.0,0,0.0,237.60000000000002,0,12,0,0,0,237.6,-1.494,-0.918,-0.902,True,False,False,True,False,False,True,True,False,False,False
0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.15,20.15,1,0,1,0,0,0,0,1,0.1,0,0.0,20.15,0,1,0,0,0,20.15,-1.483,-0.998,-0.998,False,False,False,True,False,True,False,False,False,False,False
1,0,1,0,58,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,59.9,3505.1,0,0,0,0,1,1,0,0,4.8,1,3.0,3474.2,0,24,1,0,0,3474.2,-0.162,0.54,0.527,False,True,False,False,False,False,False,False,False,False,True
0,0,1,1,49,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,59.6,2970.3,0,0,0,0,0,1,0,0,4.1,1,3.0,2920.4,0,1,1,0,0,2920.4,-0.172,0.304,0.283,False,False,False,False,False,False,False,False,False,False,True
1,0,0,0,30,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,55.3,1530.6,0,0,0,0,0,0,0,0,2.5,1,2.0,1659.0,0,1,0,0,0,1659.0,-0.314,-0.332,-0.274,False,False,False,False,False,False,True,False,False,True,False
0,0,1,1,47,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1,99.35,4749.15,1,1,0,0,0,0,1,0,3.9,1,4.0,4669.45,1,1,0,1,1,4669.45,1.149,1.089,1.055,False,False,True,False,True,False,False,False,False,True,False
0,0,1,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,30.2,30.2,1,0,0,0,0,0,1,0,0.1,1,1.0,30.2,0,1,0,1,0,30.2,-1.149,-0.994,-0.993,False,False,False,False,True,False,False,False,False,False,False
0,0,1,0,72,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,90.25,6369.45,0,0,0,0,1,1,0,0,6.0,1,7.0,6498.0,1,24,1,0,0,6498.0,0.847,1.804,1.863,False,True,False,False,False,False,False,False,False,False,True
1,0,0,1,17,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,64.7,1093.1,1,0,0,0,0,0,0,1,1.4,1,2.0,1099.9,0,1,0,0,0,1099.9,-0.002,-0.525,-0.521,False,False,False,False,False,True,False,False,True,False,False
1,1,1,0,71,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,96.35,6766.95,0,1,0,0,1,1,0,0,5.9,1,5.0,6840.849999999999,1,24,1,0,1,6840.85,1.05,1.98,2.014,False,True,True,False,False,False,False,False,False,False,True
0,1,1,0,2,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1,95.5,181.65,0,1,0,0,0,1,0,0,0.2,1,3.0,191.0,1,1,1,0,1,191.0,1.022,-0.927,-0.922,False,False,True,False,False,False,False,False,False,False,False
1,0,1,1,27,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,66.15,1874.45,0,0,0,1,0,0,0,1,2.2,1,4.0,1786.0500000000002,0,12,0,0,0,1786.05,0.046,-0.18,-0.218,True,False,False,False,False,True,False,False,False,True,False
0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.2,20.2,0,0,1,0,0,0,0,0,0.1,0,0.0,20.2,0,1,0,0,0,20.2,-1.481,-0.998,-0.998,False,False,False,True,False,False,True,False,False,False,False
0,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,45.25,45.25,0,0,0,0,0,0,0,0,0.1,1,0.0,45.25,0,1,0,0,0,45.25,-0.648,-0.987,-0.987,False,False,False,False,False,False,True,False,False,False,False
1,0,1,1,72,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,99.9,7251.7,0,1,0,0,1,0,0,0,6.0,1,5.0,7192.8,1,24,0,0,1,7192.8,1.168,2.194,2.169,False,True,True,False,False,False,True,False,False,False,True
0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,69.7,316.9,1,1,0,0,0,0,1,0,0.4,1,0.0,348.5,0,1,0,1,1,348.5,0.164,-0.867,-0.853,False,False,True,False,True,False,False,False,False,False,False
1,0,0,0,46,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,74.8,3548.3,0,1,0,0,0,1,0,0,3.8,1,1.0,3440.7999999999997,0,1,1,0,1,3440.8,0.334,0.559,0.513,False,False,True,False,False,False,False,False,False,True,False
0,0,0,0,34,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,106.35,3549.25,1,1,0,0,0,0,1,0,2.8,1,5.0,3615.8999999999996,1,1,0,1,1,3615.9,1.382,0.559,0.59,False,False,True,False,True,False,False,False,False,True,False
1,0,0,0,11,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1,97.85,1105.4,1,1,0,0,0,0,0,0,0.9,1,4.0,1076.35,1,1,0,0,1,1076.35,1.1,-0.519,-0.531,False,False,True,False,False,False,True,True,False,False,False
0,0,1,1,10,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,49.55,475.7,0,0,0,1,0,0,0,1,0.8,1,1.0,495.5,0,12,0,0,0,495.5,-0.506,-0.797,-0.788,True,False,False,False,False,True,False,True,False,False,False
1,0,1,1,70,1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,69.2,4872.35,0,0,0,0,1,1,0,0,5.8,1,4.0,4844.0,0,24,1,0,0,4844.0,0.148,1.144,1.132,False,True,False,False,False,False,False,False,False,False,True
1,0,1,1,17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.75,418.25,0,0,1,1,0,0,0,1,1.4,0,0.0,352.75,0,12,0,0,0,352.75,-1.463,-0.823,-0.851,True,False,False,True,False,True,False,False,True,False,False
1,0,0,0,63,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,79.85,4861.45,0,0,0,0,1,1,0,0,5.2,1,6.0,5030.549999999999,0,24,1,0,0,5030.55,0.501,1.139,1.215,False,True,False,False,False,False,False,False,False,False,True
1,0,1,0,13,1,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,76.2,981.45,0,0,0,0,0,0,1,0,1.1,1,5.0,990.6,0,1,0,1,0,990.6,0.38,-0.574,-0.569,False,False,False,False,True,False,False,False,True,False,False
1,0,0,0,49,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,84.5,3906.7,0,1,0,0,0,0,1,0,4.1,1,2.0,4140.5,0,1,0,1,1,4140.5,0.656,0.717,0.822,False,False,True,False,True,False,False,False,False,False,True
0,0,0,0,2,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,49.25,97.0,0,0,0,0,0,0,0,1,0.2,1,1.0,98.5,0,1,0,0,0,98.5,-0.516,-0.965,-0.963,False,False,False,False,False,True,False,False,False,False,False
1,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,80.65,144.15,1,1,0,0,0,0,1,0,0.2,1,1.0,161.3,0,1,0,1,1,161.3,0.528,-0.944,-0.935,False,False,True,False,True,False,False,False,False,False,False
0,0,0,0,52,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1,79.75,4217.8,0,0,0,0,1,1,0,0,4.3,1,5.0,4147.0,0,24,1,0,0,4147.0,0.498,0.855,0.825,False,True,False,False,False,False,False,False,False,False,True
1,0,1,1,69,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,64.15,4254.1,0,0,0,0,1,1,0,0,5.8,1,4.0,4426.35,0,24,1,0,0,4426.35,-0.02,0.871,0.948,False,True,False,False,False,False,False,False,False,False,True
1,1,0,0,43,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,90.25,3838.75,0,1,0,0,0,0,1,0,3.6,1,3.0,3880.75,1,1,0,1,1,3880.75,0.847,0.687,0.707,False,False,True,False,True,False,False,False,False,True,False
1,0,0,0,15,1,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1,99.1,1426.4,1,1,0,0,0,1,0,0,1.2,1,4.0,1486.5,1,1,1,0,1,1486.5,1.141,-0.378,-0.35,False,False,True,False,False,False,False,False,True,False,False
1,1,1,0,25,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1,69.5,1752.65,0,0,0,0,0,1,0,0,2.1,1,4.0,1737.5,0,1,1,0,0,1737.5,0.157,-0.234,-0.239,False,False,False,False,False,False,False,False,False,True,False
1,1,1,0,8,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,80.65,633.3,1,1,0,0,0,1,0,0,0.7,1,2.0,645.2,0,1,1,0,1,645.2,0.528,-0.728,-0.722,False,False,True,False,False,False,False,True,False,False,False
1,1,1,1,60,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1,74.85,4456.35,0,0,0,1,0,1,0,0,5.0,1,5.0,4491.0,0,12,1,0,0,4491.0,0.335,0.96,0.976,True,False,False,False,False,False,False,False,False,False,True
0,1,0,0,18,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1,95.45,1752.55,1,1,0,0,0,0,1,0,1.5,1,3.0,1718.1000000000001,1,1,0,1,1,1718.1,1.02,-0.234,-0.248,False,False,True,False,True,False,False,False,True,False,False
1,0,1,1,63,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1,99.65,6311.2,0,1,0,1,0,1,0,0,5.2,1,4.0,6277.950000000001,1,12,1,0,1,6277.95,1.159,1.779,1.765,True,False,True,False,False,False,False,False,False,False,True
0,1,1,1,66,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,108.45,7076.35,0,1,0,1,0,0,1,0,5.5,1,6.0,7157.7,1,12,0,1,1,7157.7,1.452,2.116,2.154,True,False,True,False,True,False,False,False,False,False,True
1,0,1,1,34,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,24.95,894.3,0,0,1,0,1,1,0,0,2.8,0,1.0,848.3,0,24,1,0,0,848.3,-1.323,-0.613,-0.632,False,True,False,True,False,False,False,False,False,True,False
1,0,0,0,72,1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,107.5,7853.7,0,1,0,0,1,1,0,0,6.0,1,5.0,7740.0,1,24,1,0,1,7740.0,1.42,2.46,2.411,False,True,True,False,False,False,False,False,False,False,True
1,0,1,0,47,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1,100.5,4707.1,0,1,0,0,0,0,1,0,3.9,1,4.0,4723.5,1,1,0,1,1,4723.5,1.188,1.071,1.079,False,False,True,False,True,False,False,False,False,True,False
0,0,0,0,60,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,89.9,5450.7,0,1,0,0,0,0,0,0,5.0,1,3.0,5394.0,1,1,0,0,1,5394.0,0.835,1.399,1.375,False,False,True,False,False,False,True,False,False,False,True
0,0,1,0,72,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,42.1,2962.0,0,0,0,0,1,0,0,0,6.0,1,3.0,3031.2000000000003,0,24,0,0,0,3031.2,-0.753,0.3,0.332,False,True,False,False,False,False,True,False,False,False,True
1,0,1,1,18,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,54.4,957.1,0,0,0,1,0,1,0,0,1.5,1,2.0,979.1999999999999,0,12,1,0,0,979.2,-0.344,-0.585,-0.574,True,False,False,False,False,False,False,False,True,False,False
1,0,0,0,9,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0,94.4,857.25,1,1,0,0,0,0,1,0,0.8,1,3.0,849.6,1,1,0,1,1,849.6,0.985,-0.629,-0.631,False,False,True,False,True,False,False,True,False,False,False
1,0,0,0,3,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1,75.3,244.1,0,0,0,0,0,0,1,0,0.2,1,4.0,225.89999999999998,0,1,0,1,0,225.9,0.35,-0.9,-0.907,False,False,False,False,True,False,False,False,False,False,False
0,0,1,0,47,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,78.9,3650.35,0,1,0,1,0,0,1,0,3.9,1,2.0,3708.3,0,12,0,1,1,3708.3,0.47,0.604,0.631,True,False,True,False,True,False,False,False,False,True,False
1,0,0,0,31,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,79.2,2497.2,0,0,0,0,1,0,0,1,2.6,1,5.0,2455.2000000000003,0,24,0,0,0,2455.2,0.48,0.095,0.078,False,True,False,False,False,True,False,False,False,True,False
1,0,1,1,50,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.15,930.9,0,0,1,0,1,0,0,0,4.2,0,0.0,1007.4999999999999,0,24,0,0,0,1007.5,-1.483,-0.596,-0.562,False,True,False,True,False,False,True,False,False,False,True
0,0,0,0,10,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,79.85,887.35,0,1,0,0,0,0,0,1,0.8,1,2.0,798.5,0,1,0,0,1,798.5,0.501,-0.616,-0.654,False,False,True,False,False,True,False,True,False,False,False
0,0,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,49.05,49.05,0,0,0,0,0,0,0,1,0.1,1,1.0,49.05,0,1,0,0,0,49.05,-0.522,-0.986,-0.985,False,False,False,False,False,True,False,False,False,False,False
1,0,1,1,52,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20.4,1090.65,0,0,1,1,0,0,1,0,4.3,0,0.0,1060.8,0,12,0,1,0,1060.8,-1.474,-0.526,-0.538,True,False,False,True,True,False,False,False,False,False,True
0,1,1,1,64,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,111.6,7099.0,0,1,0,0,1,0,0,0,5.3,1,6.0,7142.4,1,24,0,0,1,7142.4,1.557,2.126,2.147,False,True,True,False,False,False,True,False,False,False,True
0,0,1,1,62,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24.25,1424.6,0,0,1,0,1,0,0,0,5.2,0,1.0,1503.5,0,24,0,0,0,1503.5,-1.346,-0.378,-0.343,False,True,False,True,False,False,True,False,False,False,True
1,0,0,1,3,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,64.5,177.4,0,0,0,0,0,0,0,0,0.2,1,3.0,193.5,0,1,0,0,0,193.5,-0.009,-0.929,-0.921,False,False,False,False,False,False,True,False,False,False,False
1,1,0,0,56,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,110.5,6139.5,0,1,0,1,0,0,1,0,4.7,1,6.0,6188.0,1,12,0,1,1,6188.0,1.52,1.703,1.726,True,False,True,False,True,False,False,False,False,False,True
1,0,0,0,46,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,55.65,2688.85,0,0,0,1,0,1,0,0,3.8,1,1.0,2559.9,0,12,1,0,0,2559.9,-0.303,0.18,0.124,True,False,False,False,False,False,False,False,False,True,False
1,0,1,1,8,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,54.65,482.25,0,0,0,0,0,0,0,1,0.7,1,2.0,437.2,0,1,0,0,0,437.2,-0.336,-0.794,-0.814,False,False,False,False,False,True,False,True,False,False,False
0,1,0,0,30,1,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1,74.75,2111.3,0,0,0,0,0,0,1,0,2.5,1,4.0,2242.5,0,1,0,1,0,2242.5,0.332,-0.075,-0.016,False,False,False,False,True,False,False,False,False,True,False
1,0,1,1,45,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,25.9,1216.6,0,0,1,1,0,1,0,0,3.8,0,1.0,1165.5,0,12,1,0,0,1165.5,-1.292,-0.47,-0.492,True,False,False,True,False,False,False,False,False,True,False
1,0,0,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,79.35,79.35,1,1,0,0,0,0,1,0,0.1,1,1.0,79.35,0,1,0,1,1,79.35,0.485,-0.972,-0.972,False,False,True,False,True,False,False,False,False,False,False
1,0,1,1,11,0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,50.55,565.35,0,0,0,0,0,0,1,0,0.9,1,3.0,556.05,0,1,0,1,0,556.05,-0.472,-0.758,-0.761,False,False,False,False,True,False,False,True,False,False,False
1,0,1,0,7,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,75.15,496.9,1,1,0,0,0,0,0,0,0.6,1,1.0,526.0500000000001,0,1,0,0,1,526.05,0.345,-0.788,-0.774,False,False,True,False,False,False,True,True,False,False,False
1,0,0,0,42,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1,103.8,4327.5,0,1,0,0,0,0,0,0,3.5,1,5.0,4359.599999999999,1,1,0,0,1,4359.6,1.297,0.903,0.918,False,False,True,False,False,False,True,False,False,True,False
1,0,1,0,49,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,20.15,973.35,0,0,1,0,1,0,0,0,4.1,0,0.0,987.3499999999999,0,24,0,0,0,987.35,-1.483,-0.578,-0.571,False,True,False,True,False,False,True,False,False,False,True
0,0,0,0,9,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1,99.3,918.75,0,1,0,0,0,1,0,0,0.8,1,4.0,893.6999999999999,1,1,1,0,1,893.7,1.148,-0.602,-0.612,False,False,True,False,False,False,False,True,False,False,False
1,0,1,0,35,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,62.15,2215.45,0,0,0,1,0,0,0,0,2.9,1,2.0,2175.25,0,12,0,0,0,2175.25,-0.087,-0.029,-0.046,True,False,False,False,False,False,True,False,False,True,False
1,0,1,1,48,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.65,1057.0,0,0,1,0,1,0,0,0,4.0,0,0.0,991.1999999999999,0,24,0,0,0,991.2,-1.466,-0.541,-0.569,False,True,False,True,False,False,True,False,False,True,False
1,0,1,1,46,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19.95,927.1,0,0,1,0,1,0,0,1,3.8,0,0.0,917.6999999999999,0,24,0,0,0,917.7,-1.489,-0.598,-0.601,False,True,False,True,False,True,False,False,False,True,False
0,0,1,0,29,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,33.75,1009.25,0,0,0,0,0,0,0,1,2.4,1,1.0,978.75,0,1,0,0,0,978.75,-1.031,-0.562,-0.574,False,False,False,False,False,True,False,False,False,True,False
0,0,1,1,30,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,82.05,2570.2,0,1,0,0,0,0,0,0,2.5,1,2.0,2461.5,0,1,0,0,1,2461.5,0.575,0.127,0.08,False,False,True,False,False,False,True,False,False,True,False
0,1,0,0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,74.7,74.7,0,1,0,0,0,0,1,0,0.1,1,1.0,74.7,0,1,0,1,1,74.7,0.33,-0.974,-0.974,False,False,True,False,True,False,False,False,False,False,False
0,0,1,1,66,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,84.0,5714.25,0,0,0,0,1,0,0,1,5.5,1,6.0,5544.0,0,24,0,0,0,5544.0,0.639,1.515,1.441,False,True,False,False,False,True,False,False,False,False,True
1,0,0,0,65,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,111.05,7107.0,0,1,0,0,0,1,0,0,5.4,1,6.0,7218.25,1,1,1,0,1,7218.25,1.538,2.13,2.181,False,False,True,False,False,False,False,False,False,False,True
0,0,0,0,72,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,100.9,7459.05,0,1,0,0,1,0,0,0,6.0,1,5.0,7264.8,1,24,0,0,1,7264.8,1.201,2.285,2.201,False,True,True,False,False,False,True,False,False,False,True
1,0,0,0,12,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,78.95,927.35,1,1,0,0,0,0,1,0,1.0,1,2.0,947.4000000000001,0,1,0,1,1,947.4,0.472,-0.598,-0.588,False,False,True,False,True,False,False,True,False,False,False
0,0,1,1,71,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,66.85,4748.7,0,0,0,1,0,1,0,0,5.9,1,4.0,4746.349999999999,0,12,1,0,0,4746.35,0.069,1.089,1.089,True,False,False,False,False,False,False,False,False,False,True
0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21.05,113.85,1,0,1,0,0,0,0,1,0.4,0,0.0,105.25,0,1,0,0,0,105.25,-1.453,-0.957,-0.96,False,False,False,True,False,True,False,False,False,False,False
0,0,0,0,52,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21.0,1107.2,0,0,1,0,1,0,0,0,4.3,0,0.0,1092.0,0,24,0,0,0,1092.0,-1.454,-0.519,-0.524,False,True,False,True,False,False,True,False,False,False,True
