gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,paperlessbilling,monthlycharges,totalcharges,churn,internetservice_Fiber optic,internetservice_No,contract_One year,contract_Two year,paymentmethod_Credit card (automatic),paymentmethod_Electronic check,paymentmethod_Mailed check,tenure_years,has_internet,num_addon_services,charge_tenure_interaction,high_charge_flag,contract_term,auto_pay,echeck_flag,fiber_flag,clv_simple,monthlycharges_z,totalcharges_z,charge_tenure_interaction_z,contract_type_One Year,contract_type_Two Year,internet_type_Fiber optic,internet_type_No Internet,payment_method_Electronic Check,payment_method_Mailed Check,payment_method_Other/Bank Auto,tenure_group_7-12,tenure_group_13-24,tenure_group_25-48,tenure_group_49+,pred_churn_prob,pred_churn_label,,customerID
0,0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,587.45,0,0,0,0,0,0,0,1,1.1,1,1,649.35,0,1,0,0,0,649.35,-0.492,-0.748,-0.72,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.16890365,0,,9763-GRSKD
0,0,0,0,16,1,0,0,0,0,0,0,0,0,18.95,326.8,0,0,1,0,1,1,0,0,1.3,0,0,303.2,0,24,1,0,0,303.2,-1.522,-0.863,-0.873,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.013769439,0,,7469-LKBCI
0,0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,5681.1,0,1,0,1,0,1,0,0,4.8,1,4,5820.3,1,12,1,0,1,5820.3,1.183,1.501,1.563,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.24520737,0,,8091-TTVAX
0,0,0,0,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,1,1,0,0,0,0,0,0,4.1,1,5,5081.3,1,1,0,0,1,5081.3,1.294,1.216,1.237,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.33239087,0,,0280-XJGEX
0,0,0,0,25,1,0,1,0,1,1,1,1,1,105.5,2686.05,0,1,0,0,0,0,1,0,2.1,1,5,2637.5,1,1,0,1,1,2637.5,1.354,0.178,0.158,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.2212785,0,,5129-JLPIS
1,0,1,1,69,1,1,1,1,1,1,1,1,0,113.25,7895.15,0,1,0,0,1,1,0,0,5.8,1,7,7814.25,1,24,1,0,1,7814.25,1.611,2.478,2.444,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.48691207,0,,3655-SNQYZ
1,0,0,0,52,1,0,0,0,0,0,0,0,0,20.65,1022.95,0,0,1,1,0,0,0,1,4.3,0,0,1073.8,0,12,0,0,0,1073.8,-1.466,-0.556,-0.532,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.0504968,0,,8191-XWSZG
0,0,0,1,71,1,1,1,0,1,0,1,1,0,106.7,7382.25,0,1,0,0,1,0,0,0,5.9,1,5,7575.7,1,24,0,0,1,7575.7,1.394,2.252,2.339,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.5977055,1,,9959-WOFKT
1,0,1,1,10,1,0,0,0,1,1,0,0,0,55.2,528.35,1,0,0,0,0,1,0,0,0.8,1,2,552,0,1,1,0,0,552,-0.318,-0.774,-0.763,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.04981985,0,,4190-MFLUW
1,0,0,0,21,1,0,0,1,1,0,0,1,1,90.05,1862.9,0,1,0,0,0,0,1,0,1.8,1,3,1891.05,1,1,0,1,1,1891.05,0.84,-0.185,-0.172,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.30252072,0,,4183-MYFRB
0,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1,0,0,0,0,0,1,0,0.1,1,2,39.65,0,1,0,1,0,39.65,-0.835,-0.99,-0.989,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.54900235,1,,8779-QRDMV
0,0,1,0,12,1,0,0,0,0,0,0,0,0,19.8,202.25,0,0,1,1,0,0,0,0,1,0,0,237.6,0,12,0,0,0,237.6,-1.494,-0.918,-0.902,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.042937286,0,,1680-VDCWW
0,0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,1,0,1,0,0,0,0,1,0.1,0,0,20.15,0,1,0,0,0,20.15,-1.483,-0.998,-0.998,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.13859408,0,,1066-JKSGK
1,0,1,0,58,1,1,0,1,0,1,0,0,1,59.9,3505.1,0,0,0,0,1,1,0,0,4.8,1,3,3474.2,0,24,1,0,0,3474.2,-0.162,0.54,0.527,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.06429827,0,,3638-WEABW
0,0,1,1,49,1,0,1,1,0,1,0,0,0,59.6,2970.3,0,0,0,0,0,1,0,0,4.1,1,3,2920.4,0,1,1,0,0,2920.4,-0.172,0.304,0.283,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.058363147,0,,6322-HRPFA
1,0,0,0,30,1,0,1,1,0,0,0,0,1,55.3,1530.6,0,0,0,0,0,0,0,0,2.5,1,2,1659,0,1,0,0,0,1659,-0.314,-0.332,-0.274,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,0.10599184,0,,6865-JZNKO
0,0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,1,1,0,0,0,0,1,0,3.9,1,4,4669.45,1,1,0,1,1,4669.45,1.149,1.089,1.055,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.3754518,0,,6467-CHFZW
0,0,1,1,1,0,0,0,1,0,0,0,0,0,30.2,30.2,1,0,0,0,0,0,1,0,0.1,1,1,30.2,0,1,0,1,0,30.2,-1.149,-0.994,-0.993,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.22413425,0,,8665-UTDHZ
0,0,1,0,72,1,1,1,1,1,1,1,1,1,90.25,6369.45,0,0,0,0,1,1,0,0,6,1,7,6498,1,24,1,0,0,6498,0.847,1.804,1.863,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.24284656,0,,5248-YGIJN
1,0,0,1,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,1,0,0,0,0,0,0,1,1.4,1,2,1099.9,0,1,0,0,0,1099.9,-0.002,-0.525,-0.521,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.16905177,0,,8773-HHUOZ
1,1,1,0,71,1,1,1,1,1,1,0,0,1,96.35,6766.95,0,1,0,0,1,1,0,0,5.9,1,5,6840.85,1,24,1,0,1,6840.85,1.05,1.98,2.014,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.45860252,0,,3841-NFECX
0,1,1,0,2,1,0,0,0,1,0,1,1,1,95.5,181.65,0,1,0,0,0,1,0,0,0.2,1,3,191,1,1,1,0,1,191,1.022,-0.927,-0.922,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.15366983,0,,4929-XIHVW
1,0,1,1,27,1,0,1,1,1,1,0,0,0,66.15,1874.45,0,0,0,1,0,0,0,1,2.2,1,4,1786.05,0,12,0,0,0,1786.05,0.046,-0.18,-0.218,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.13267106,0,,6827-IEAUQ
0,0,0,0,1,1,0,0,0,0,0,0,0,0,20.2,20.2,0,0,1,0,0,0,0,0,0.1,0,0,20.2,0,1,0,0,0,20.2,-1.481,-0.998,-0.998,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.10134855,0,,7310-EGVHZ
0,1,0,0,1,1,0,0,0,0,0,0,0,0,45.25,45.25,0,0,0,0,0,0,0,0,0.1,1,0,45.25,0,1,0,0,0,45.25,-0.648,-0.987,-0.987,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.4998645,0,,3413-BMNZE
1,0,1,1,72,1,1,1,1,0,1,1,0,0,99.9,7251.7,0,1,0,0,1,0,0,0,6,1,5,7192.8,1,24,0,0,1,7192.8,1.168,2.194,2.169,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.58353955,1,,6234-RAAPL
0,0,0,0,5,1,0,0,0,0,0,0,0,1,69.7,316.9,1,1,0,0,0,0,1,0,0.4,1,0,348.5,0,1,0,1,1,348.5,0.164,-0.867,-0.853,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.30009493,0,,6047-YHPVI
1,0,0,0,46,1,0,0,0,1,0,0,0,1,74.8,3548.3,0,1,0,0,0,1,0,0,3.8,1,1,3440.8,0,1,1,0,1,3440.8,0.334,0.559,0.513,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.082803264,0,,6572-ADKRS
0,0,0,0,34,1,1,0,1,1,0,1,1,1,106.35,3549.25,1,1,0,0,0,0,1,0,2.8,1,5,3615.9,1,1,0,1,1,3615.9,1.382,0.559,0.59,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.34164503,0,,5380-WJKOV
1,0,0,0,11,1,1,0,0,1,0,1,1,1,97.85,1105.4,1,1,0,0,0,0,0,0,0.9,1,4,1076.35,1,1,0,0,1,1076.35,1.1,-0.519,-0.531,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.31341338,0,,8168-UQWWF
0,0,1,1,10,1,0,0,1,0,0,0,0,0,49.55,475.7,0,0,0,1,0,0,0,1,0.8,1,1,495.5,0,12,0,0,0,495.5,-0.506,-0.797,-0.788,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0.11139572,0,,8865-TNMNX
1,0,1,1,70,1,1,1,1,0,0,1,0,1,69.2,4872.35,0,0,0,0,1,1,0,0,5.8,1,4,4844,0,24,1,0,0,4844,0.148,1.144,1.132,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.12308643,0,,9489-DEDVP
1,0,1,1,17,1,0,0,0,0,0,0,0,0,20.75,418.25,0,0,1,1,0,0,0,1,1.4,0,0,352.75,0,12,0,0,0,352.75,-1.463,-0.823,-0.851,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0.07266724,0,,9867-JCZSP
1,0,0,0,63,1,1,1,1,1,1,1,0,1,79.85,4861.45,0,0,0,0,1,1,0,0,5.2,1,6,5030.55,0,24,1,0,0,5030.55,0.501,1.139,1.215,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.14990506,0,,4671-VJLCL
1,0,1,0,13,1,1,1,1,0,1,1,0,1,76.2,981.45,0,0,0,0,0,0,1,0,1.1,1,5,990.6,0,1,0,1,0,990.6,0.38,-0.574,-0.569,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.3232821,0,,4080-IIARD
1,0,0,0,49,1,1,0,0,0,0,0,1,1,84.5,3906.7,0,1,0,0,0,0,1,0,4.1,1,2,4140.5,0,1,0,1,1,4140.5,0.656,0.717,0.822,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.36926502,0,,3714-NTNFO
0,0,0,0,2,1,0,0,1,0,0,0,0,0,49.25,97,0,0,0,0,0,0,0,1,0.2,1,1,98.5,0,1,0,0,0,98.5,-0.516,-0.965,-0.963,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.17045341,0,,5948-UJZLF
1,0,0,0,2,1,0,0,0,0,0,1,0,1,80.65,144.15,1,1,0,0,0,0,1,0,0.2,1,1,161.3,0,1,0,1,1,161.3,0.528,-0.944,-0.935,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.29106772,0,,7760-OYPDY
0,0,0,0,52,1,1,1,0,0,1,1,1,1,79.75,4217.8,0,0,0,0,1,1,0,0,4.3,1,5,4147,0,24,1,0,0,4147,0.498,0.855,0.825,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.048650973,0,,7639-LIAYI
1,0,1,1,69,1,1,1,0,1,1,0,0,1,64.15,4254.1,0,0,0,0,1,1,0,0,5.8,1,4,4426.35,0,24,1,0,0,4426.35,-0.02,0.871,0.948,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.0496394,0,,2954-PIBKO
1,1,0,0,43,1,1,0,1,0,0,1,0,1,90.25,3838.75,0,1,0,0,0,0,1,0,3.6,1,3,3880.75,1,1,0,1,1,3880.75,0.847,0.687,0.707,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.32942328,0,,8012-SOUDQ
1,0,0,0,15,1,0,1,1,0,0,1,1,1,99.1,1426.4,1,1,0,0,0,1,0,0,1.2,1,4,1486.5,1,1,1,0,1,1486.5,1.141,-0.378,-0.35,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.19500598,0,,9420-LOJKX
1,1,1,0,25,1,1,1,0,0,1,1,0,1,69.5,1752.65,0,0,0,0,0,1,0,0,2.1,1,4,1737.5,0,1,1,0,0,1737.5,0.157,-0.234,-0.239,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.34211355,0,,6575-SUVOI
1,1,1,0,8,1,1,0,1,0,0,0,0,1,80.65,633.3,1,1,0,0,0,1,0,0,0.7,1,2,645.2,0,1,1,0,1,645.2,0.528,-0.728,-0.722,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.2746457,0,,7495-OOKFY
1,1,1,1,60,1,0,1,1,1,1,0,1,1,74.85,4456.35,0,0,0,1,0,1,0,0,5,1,5,4491,0,12,1,0,0,4491,0.335,0.96,0.976,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.12624973,0,,4667-QONEA
0,1,0,0,18,1,1,0,0,0,0,1,1,1,95.45,1752.55,1,1,0,0,0,0,1,0,1.5,1,3,1718.1,1,1,0,1,1,1718.1,1.02,-0.234,-0.248,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.5585504,1,,1658-BYGOY
1,0,1,1,63,1,1,1,0,0,0,1,1,1,99.65,6311.2,0,1,0,1,0,1,0,0,5.2,1,4,6277.95,1,12,1,0,1,6277.95,1.159,1.779,1.765,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.43270233,0,,8769-KKTPH
0,1,1,1,66,1,1,0,1,1,1,1,1,1,108.45,7076.35,0,1,0,1,0,0,1,0,5.5,1,6,7157.7,1,12,0,1,1,7157.7,1.452,2.116,2.154,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.46745035,0,,5067-XJQFU
1,0,1,1,34,1,1,0,0,0,0,0,0,0,24.95,894.3,0,0,1,0,1,1,0,0,2.8,0,1,848.3,0,24,1,0,0,848.3,-1.323,-0.613,-0.632,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.023805747,0,,3957-SQXML
1,0,0,0,72,1,1,0,0,1,1,1,1,1,107.5,7853.7,0,1,0,0,1,1,0,0,6,1,5,7740,1,24,1,0,1,7740,1.42,2.46,2.411,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.5495816,1,,5954-BDFSG
1,0,1,0,47,1,1,0,0,1,0,1,1,1,100.5,4707.1,0,1,0,0,0,0,1,0,3.9,1,4,4723.5,1,1,0,1,1,4723.5,1.188,1.071,1.079,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.49857938,0,,0434-CSFON
0,0,0,0,60,1,1,0,1,0,0,1,0,1,89.9,5450.7,0,1,0,0,0,0,0,0,5,1,3,5394,1,1,0,0,1,5394,0.835,1.399,1.375,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.3436137,0,,1215-FIGMP
0,0,1,0,72,0,0,1,1,1,0,0,0,0,42.1,2962,0,0,0,0,1,0,0,0,6,1,3,3031.2,0,24,0,0,0,3031.2,-0.753,0.3,0.332,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.074253246,0,,0526-SXDJP
1,0,1,1,18,1,0,0,0,1,1,0,0,1,54.4,957.1,0,0,0,1,0,1,0,0,1.5,1,2,979.2,0,12,1,0,0,979.2,-0.344,-0.585,-0.574,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.059614506,0,,0557-ASKVU
1,0,0,0,9,1,1,0,0,0,0,1,1,0,94.4,857.25,1,1,0,0,0,0,1,0,0.8,1,3,849.6,1,1,0,1,1,849.6,0.985,-0.629,-0.631,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.38802707,0,,5698-BQJOH
1,0,0,0,3,1,0,0,1,0,1,1,1,1,75.3,244.1,0,0,0,0,0,0,1,0,0.2,1,4,225.9,0,1,0,1,0,225.9,0.35,-0.9,-0.907,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.12350849,0,,5122-CYFXA
0,0,1,0,47,1,1,0,1,0,0,0,0,1,78.9,3650.35,0,1,0,1,0,0,1,0,3.9,1,2,3708.3,0,12,0,1,1,3708.3,0.47,0.604,0.631,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.31704795,0,,8627-ZYGSZ
1,0,0,0,31,1,0,0,1,1,1,1,1,0,79.2,2497.2,0,0,0,0,1,0,0,1,2.6,1,5,2455.2,0,24,0,0,0,2455.2,0.48,0.095,0.078,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.04121052,0,,3410-YOQBQ
1,0,1,1,50,1,0,0,0,0,0,0,0,0,20.15,930.9,0,0,1,0,1,0,0,0,4.2,0,0,1007.5,0,24,0,0,0,1007.5,-1.483,-0.596,-0.562,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.026245074,0,,3170-NMYVV
0,0,0,0,10,1,0,1,0,1,0,0,0,1,79.85,887.35,0,1,0,0,0,0,0,1,0.8,1,2,798.5,0,1,0,0,1,798.5,0.501,-0.616,-0.654,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0.20304352,0,,7410-OIEDU
0,0,0,0,1,1,0,0,0,0,1,0,0,0,49.05,49.05,0,0,0,0,0,0,0,1,0.1,1,1,49.05,0,1,0,0,0,49.05,-0.522,-0.986,-0.985,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.097011834,0,,2273-QCKXA
1,0,1,1,52,1,0,0,0,0,0,0,0,1,20.4,1090.65,0,0,1,1,0,0,1,0,4.3,0,0,1060.8,0,12,0,1,0,1060.8,-1.474,-0.526,-0.538,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.06257341,0,,0731-EBJQB
0,1,1,1,64,1,1,1,0,1,1,1,1,1,111.6,7099,0,1,0,0,1,0,0,0,5.3,1,6,7142.4,1,24,0,0,1,7142.4,1.557,2.126,2.147,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.40023154,0,,1891-QRQSA
0,0,1,1,62,1,1,0,0,0,0,0,0,1,24.25,1424.6,0,0,1,0,1,0,0,0,5.2,0,1,1503.5,0,24,0,0,0,1503.5,-1.346,-0.378,-0.343,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,0.03213957,0,,8028-PNXHQ
1,0,0,1,3,1,0,1,0,0,1,0,1,1,64.5,177.4,0,0,0,0,0,0,0,0,0.2,1,3,193.5,0,1,0,0,0,193.5,-0.009,-0.929,-0.921,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.09039614,0,,5630-AHZIL
1,1,0,0,56,1,1,1,1,1,0,1,1,0,110.5,6139.5,0,1,0,1,0,0,1,0,4.7,1,6,6188,1,12,0,1,1,6188,1.52,1.703,1.726,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0.31501228,0,,2673-CXQEU
1,0,0,0,46,1,0,0,0,0,0,0,1,0,55.65,2688.85,0,0,0,1,0,1,0,0,3.8,1,1,2559.9,0,12,1,0,0,2559.9,-0.303,0.18,0.124,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.046337247,0,,6416-JNVRK
1,0,1,1,8,1,0,1,1,0,0,0,0,0,54.65,482.25,0,0,0,0,0,0,0,1,0.7,1,2,437.2,0,1,0,0,0,437.2,-0.336,-0.794,-0.814,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0.13939689,0,,5590-ZSKRV
0,1,0,0,30,1,0,1,1,0,0,1,1,1,74.75,2111.3,0,0,0,0,0,0,1,0,2.5,1,4,2242.5,0,1,0,1,0,2242.5,0.332,-0.075,-0.016,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.44176152,0,,0191-ZHSKZ
